Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Equipments	Eigene Equipments	Anzahl fremde Equipments	In Werkstatt	Equipments verkauft	EK netto	Anmietpreis	H?he [mm]	Breite [mm]	L?nge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR146	 - 	Case (GerÃ¤tetransport)	ADJ Touring Case 2x Vizi BSW 300	ADJ Touring Case 2x Vizi BSW 300	 - 	 - 	 - 	ADJ Touring Case 2x Vizi BSW 300	ADJ Touring Case 2x Vizi BSW 300	ADJ Supply Europe B.V.	550	579	599	 - 	4	2	2	0	0	389	 - 	600 	885	 629	30.000	0
AR147	 - 	Case (GerÃ¤tetransport)	Case fÃ¼r 2 CP A.leda K10/B-EYE K10	Case für 2 CP A.leda K10/B-EYE K10	 - 	 - 	 - 	Case fÃ¼r 2 CP A.leda K10/B-EYE K10	Case für 2 CP A.leda K10/B-EYE K10	NULL	 - 	 - 	 - 	 - 	12	0	12	0	0	 - 	 - 	68	45	86	30.000	0
AR498	 - 	Case (GerÃ¤tetransport)	Case fÃ¼r DVA T4/T8/K5	Case für DVA T4/T8/K5	 - 	 - 	 - 	Case fÃ¼r DVA T4/T8/K5	Case für DVA T4/T8/K5	NULL	 - 	 - 	 - 	 - 	8	2	6	0	0	 - 	 - 	120	60	300	24.000	0
AR499	 - 	Case (GerÃ¤tetransport)	Cover EAW 115/118	Cover EAW 115/118	 - 	 - 	 - 	Cover EAW 115/118	Cover EAW 115/118	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR685	 - 	Case (GerÃ¤tetransport)	FlightCase for 6x BBB612 Charging*	FlightCase for 6x BBB612 Charging	 - 	 - 	 - 	FlightCase for 6x BBB612 Charging*	FlightCase for 6x BBB612 Charging	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	203.47	 - 	355	575	700	19.500	0
AR774	 - 	Case (GerÃ¤tetransport)	Transportcase fÃ¼r sechs Chauvet R1BW	Transportcase für sechs Chauvet R1BW	 - 	 - 	 - 	Transportcase fÃ¼r sechs Chauvet R1BW	Transportcase für sechs Chauvet R1BW	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	0.0	 - 	 - 	 - 	 - 	24.000	0
AR775	 - 	Case (GerÃ¤tetransport)	Transportcase fÃ¼r zwei Chauvet Intimidator 475Z	Transportcase für zwei Chauvet Intimidator 475Z	 - 	 - 	 - 	Transportcase fÃ¼r zwei Chauvet Intimidator 475Z	Transportcase für zwei Chauvet Intimidator 475Z	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	26.000	0
AR801	 - 	Case (GerÃ¤tetransport)	RCF CVR TT 08 II COVER CVR TT 08 II 	RCF CVR TT 08 II COVER CVR TT 08 II 	 - 	 - 	 - 	RCF CVR TT 08 II COVER CVR TT 08 II 	RCF CVR TT 08 II COVER CVR TT 08 II 	NULL	50	55	60	 - 	4	4	0	0	0	38.43	 - 	 - 	 - 	 - 	0.000	0
AR802	 - 	Case (GerÃ¤tetransport)	ADJ Touring Case 4x Focus Spto 4 Z	ADJ Touring Case 4x Focus Spto 4 Z	 - 	 - 	 - 	ADJ Touring Case 4x Focus Spto 4 Z	ADJ Touring Case 4x Focus Spto 4 Z	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	680	600	840	33.400	0
AR812	 - 	Case (GerÃ¤tetransport)	ADJ Touring Case 4x HexWash 7/Q Wash 7	ADJ Touring Case 4x HexWash 7/Q Wash 7	0.50	 - 	 - 	ADJ Touring Case 4x HexWash 7/Q Wash 7	ADJ Touring Case 4x HexWash 7/Q Wash 7	NULL	 - 	612.61	 - 	 - 	1	0	1	0	0	 - 	 - 	600	524	857	30.550	0
