Artikelnummer (AR+[ID])	Artikelnummer Systemfremd	Artikelgruppe	Artikelname Vermietung	Artikelkurzbeschreibung Vermietung	Vermietpreis Min	Vermietpreis Soll	Vermietpreis UVP	Artikelname Verkauf	Artikelkurzbeschreibung Verkauf	Herstellerfirma	Verkaufpreis Min	Verkaufpreis Soll	Verkaufpreis UVP	ArtikelSeriennummer	Anzahl Equipments	Anzahl eigene Equipments	Anzahl fremde Equipments	Anzahl in Werkstatt	Anzahl verkauft	EK netto	Anmietpreis	Höhe [mm]	Breite [mm]	Länge [mm]	Gewicht [kg]	Anschlussleistung [W]	
AR324	 - 	Kabel - Lautsprecher	Kudo System Kabel 25m	Kudo System Kabel 25m	 - 	2.50	 - 	Kudo System Kabel 25m	Kudo System Kabel 25m	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR347	 - 	Kabel - Lautsprecher	Lautsprecherkabel Adapter EP5 male auf NL4	Lautsprecherkabel Adapter EP5 male auf NL4	 - 	1	 - 	Lautsprecherkabel Adapter EP5 male auf NL4	Lautsprecherkabel Adapter EP5 male auf NL4	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR348	 - 	Kabel - Lautsprecher	Lautsprecherkabel Adapter NL4 auf EP5 female 	Lautsprecherkabel Adapter NL4 auf EP5 female (4x4mm2 / 0,5m)	 - 	1	 - 	Lautsprecherkabel Adapter NL4 auf EP5 female (4x4m	Lautsprecherkabel Adapter NL4 auf EP5 female (4x4mm2 / 0,5m)	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR349	 - 	Kabel - Lautsprecher	Speakon Kupplung	Speakon Kupplung	 - 	 - 	 - 	Speakon Kupplung	Speakon Kupplung	NULL	 - 	 - 	 - 	 - 	8	0	8	0	0	,50	 - 	 - 	 - 	 - 	0.000	0
AR350	 - 	Kabel - Lautsprecher	Lautsprecher Kabel EP5 0,75m	Lautsprecher Kabel EP5 0,75m	 - 	.50	 - 	Lautsprecher Kabel  EP5 0,75m	Lautsprecher Kabel EP5  0,75m	NULL	 - 	 - 	 - 	 - 	18	0	18	0	0	18	 - 	 - 	 - 	 - 	0.000	0
AR351	 - 	Kabel - Lautsprecher	Lautsprecher Kabel EP5  2,5m	Lautsprecher Kabel EP5 2,5m	 - 	 - 	 - 	Lautsprecher Kabel EP5 2,5m	Lautsprecher Kabel EP5 2,5m	NULL	 - 	 - 	 - 	 - 	6	0	6	0	0	0.50	 - 	 - 	 - 	 - 	0.000	0
AR352	 - 	Kabel - Lautsprecher	Lautsprecher Kabel EP 5 5m	Lautsprecher Kabel EP 5 5m	 - 	 - 	 - 	Lautsprecher Kabel EP 5 5m	Lautsprecher Kabel EP 5 5m	NULL	 - 	 - 	 - 	 - 	6	0	6	0	0	0,50	 - 	 - 	 - 	 - 	0.000	0
AR353	 - 	Kabel - Lautsprecher	Lautsprecher Kabel  EP5 10m	Lautsprecher Kabel  EP5 10m	 - 	 - 	 - 	Lautsprecher Kabel  EP5 10m	Lautsprecher Kabel  EP5 10m	NULL	 - 	 - 	 - 	 - 	6	0	6	0	0	0,50	 - 	 - 	 - 	 - 	0.000	0
AR354	 - 	Kabel - Lautsprecher	Lautsprecher Kabel  EP 5 15m	Lautsprecher Kabel  EP 5 15m	 - 	 - 	 - 	Lautsprecher Kabel  EP 5 15m	Lautsprecher Kabel  EP 5 15m	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	0,50	 - 	 - 	 - 	 - 	0.000	0
AR355	 - 	Kabel - Lautsprecher	Lautsprecher Kabel EP 5 20m	Lautsprecher Kabel EP 5 20m	 - 	 - 	 - 	Lautsprecher Kabel EP 5 20m	Lautsprecher Kabel EP 5 20m	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	0,50	 - 	 - 	 - 	 - 	0.000	0
AR563	 - 	Kabel - Lautsprecher	Kudo Do Kabel 0,5m	Kudo Do Kabel 0,5m	 - 	 - 	 - 	Kudo Do Kabel 0,5m	Kudo Do Kabel 0,5m	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR99	 - 	Kabel - Mikrofon	XLR-Kabel 10m Schwarz	XLR male - XLR female, 3 pol. XLR, schwarz	 - 	 - 	 - 	XLR-Kabel 10m Schwarz	 XLR male - XLR female, 110 Ohm, 3 pol. XLR, schwarz	NULL	 - 	 - 	 - 	 - 	150	150	0	0	0	 - 	 - 	5	5	10000	0.000	0
AR189	 - 	Kabel - Mikrofon	XLR-Kabel 1m Schwarz	XLR male - XLR female, 110 Ohm, 3 pol. XLR, schwarz 	 - 	0.5	 - 	XLR-Kabel 1m Schwarz	 XLR male - XLR female, 110 Ohm, 3 pol. XLR, schwarz	NULL	 - 	 - 	 - 	 - 	51	51	0	0	0	 - 	 - 	5	5	100	0.000	0
AR190	 - 	Kabel - Mikrofon	XLR-Kabel 6m Schwarz	XLR male - XLR female, 3 pol. XLR, schwarz	 - 	0.5	 - 	XLR-Kabel 6m Schwarz	 XLR male - XLR female, 110 Ohm, 3 pol. XLR, schwarz	NULL	 - 	 - 	 - 	 - 	130	130	0	0	0	 - 	 - 	5	5	600	0.000	0
AR192	 - 	Kabel - Mikrofon	XLR Kabel 3m	XLR Kabel 3m	 - 	0.5	0	XLR Kabel 3m	 - 	NULL	 - 	 - 	 - 	 - 	60	60	0	0	0	 - 	 - 	 - 	 - 	300	0.000	0
AR434	 - 	Kabel - Mikrofon	XLR-XLR 20m	XLR-XLR 20m	1.5	1.5	1.5	XLR-XLR 20m	XLR-XLR 20m	NULL	 - 	 - 	 - 	 - 	15	0	15	0	0	 - 	 - 	 - 	 - 	10	0.100	0
AR437	 - 	Kabel - Mikrofon	XLR-XLR 15m	XLR-XLR 15m	 - 	1.5	 - 	XLR-XLR 15m	XLR-XLR 15m	NULL	 - 	 - 	 - 	 - 	24	20	4	0	0	 - 	 - 	 - 	 - 	15	0.150	0
AR10	 - 	Kabel - Strom 230V	Stromkabel Schuko to IEC cable 1,5	Strom-Verlängerungskabel, 3-polig, 5ft (1,5m), AWG 16, Schwarz, IEC320 C14 auf IEC320 C13, 250V/13A	 - 	0.5	 - 	Stromkabel Schuko to IEC cable 1,5	Strom-Verlängerungskabel, 3-polig, 5ft (1,5m), AWG 16, Schwarz, IEC320 C14 auf IEC320 C13, 250V/13A	NULL	 - 	 - 	 - 	 - 	20	17	3	0	0	 - 	 - 	 - 	 - 	 - 	0.100	0
AR74	 - 	Kabel - Strom 230V	Verlängerungskabel/Schukokabel 2,5m/3G1,5	Verlängerungskabel/Schukokabel 2,5m/3G1,5	5	2.5	5	Schukokabel 2,5m/3G1,5	Schukokabel 2,5m/3G1,5	NULL	 - 	 - 	 - 	 - 	21	0	21	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR75	 - 	Kabel - Strom 230V	Verlängerungskabel/Schukokabel 20m/3G1,5	Verlängerungskabel/Schukokabel 20m/3G1,5	3.5	4	7.5	Schukokabel 20m/3G1,5	Schukokabel 20m/3G1,5	NULL	 - 	 - 	 - 	 - 	12	0	12	0	0	 - 	 - 	 - 	 - 	 - 	5.000	0
AR76	 - 	Kabel - Strom 230V	Verlängerungskabel Schukokabel 50m/3G2,5	Verlängerungskabel Schukokabel 50m/3G2,5	10	15	20	Schukokabel 50m/3G2,5	Schukokabel 50m/3G2,5	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR112	 - 	Kabel - Strom 230V	Verkabelung Strom n.B.	Stromzuleitungen, Mehrfachsteckdosen, Starkstromkabel, Verlängerungen usw.	 - 	100	 - 	Verkabelung Strom n.B.	Stromzuleitungen, Mehrfachsteckdosen, Starkstromkabel, Verlängerungen usw.	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR523	 - 	Kabel - Strom 230V	Stromkabel Schuko to IEC cable 3m	Stromkabel Schuko to IEC cable 3m	 - 	0.5	 - 	Stromkabel Schuko to IEC cable 3m	Strom-Verlängerungskabel, 3-polig, 5ft (3m), AWG 16, Schwarz, IEC320 C14 auf IEC320 C13, 250V/13A	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	 - 	 - 	 - 	0.100	0
AR550	 - 	Kabel - Strom 230V	Netzkabel Schuko	Netzkabel Schuko	 - 	0,50	 - 	Netzkabel Schuko	Netzkabel Schuko	NULL	 - 	 - 	 - 	 - 	10	0	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR658	 - 	Kabel - Strom 230V	P-Con Netzkabel 1-4, 3x2,5mm²	P-Con Netzkabel 1-4, 3x2,5mm²	 - 	1	 - 	P-Con Netzkabel 1-4, 3x2,5mm²	P-Con Netzkabel 1-4, 3x2,5mm²	NULL	 - 	 - 	 - 	 - 	10	10	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR663	 - 	Kabel - Strom 230V	PowerCon Netzkabel 3x1,5 5m H07RN-F	PowerCon Netzkabel 3x1,5 5m H07RN-F	 - 	 - 	 - 	PowerCon Netzkabel 3x1,5 5m H07RN-F	PowerCon Netzkabel 3x1,5 5m H07RN-F	NULL	 - 	 - 	 - 	 - 	100	100	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR664	 - 	Kabel - Strom 230V	PowerCon Netzkabel 3x1,5 10m H07RN-F	PowerCon Netzkabel 3x1,5 10m H07RN-F	 - 	2.5	 - 	PowerCon Netzkabel 3x1,5 10m H07RN-F	PowerCon Netzkabel 3x1,5 10m H07RN-F	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR665	 - 	Kabel - Strom 230V	Verlängerung 3x1,5 5m 3-fach	Verlängerung 3x1,5 5m 3-fach	 - 	2.5	 - 	Verlängerung 3x1,5 5m 3-fach	Verlängerung 3x1,5 5m 3-fach	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR666	 - 	Kabel - Strom 230V	PowerCon Verbindungskabel 3x2,5 1m	PowerCon Verbindungskabel 3x2,5 1m	 - 	1	 - 	PowerCon Verbindungskabel 3x2,5 1m	PowerCon Verbindungskabel 3x2,5 1m	NULL	 - 	 - 	 - 	 - 	120	120	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR667	 - 	Kabel - Strom 230V	Kabelverlängerungsrolle 50m 3x1.5mm	Kabelverlängerungsrolle 50m 3x1.5mm	7	10	20	Kabelverlängerungsrolle 50m 3x1.5mm	Kabelverlängerungsrolle 50m 3x1.5mm	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR668	 - 	Kabel - Strom 230V	Kabelverlängerungsrolle 25m 3x1.5mm	Kabelverlängerungsrolle 25m 3x1.5mm	7	10	20	Kabelverlängerungsrolle 25m 3x1.5mm	Kabelverlängerungsrolle 25m 3x1.5mm	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	10.000	0
AR82	 - 	Kabel Digital	CAT5 Netzwerkkabel1,5m	CAT5 Netzwerkkabel1,5mgeschirmt  HiroseKabelRC5 - 4x2x0.15mm AWG2619 100 Ohm, PUR Auenmantel, 6,1mm 	0.5	0.5	0.5	CAT5 Netzwerkkabel1,5m	CAT5 Netzwerkkabel1,5m	NULL	 - 	 - 	 - 	 - 	20	20	0	0	0	 - 	 - 	300	300	300	5.000	0
AR365	 - 	Kabel Digital	CAT 5E auf Trommel  75m	CAT 5E auf Trommel  75m	15	17.5	20	CAT 5E auf Trommel  75m	CAT 5E auf Trommel  75m	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR642	 - 	Kabel Digital	STP-Leitung CAT7,Hirose RJ45, 75,0m	STP-Leitung CAT7,Hirose RJ45, 75,0m	 - 	 - 	 - 	STP-Leitung CAT7,Hirose RJ45, 75,0m	STP-Leitung CAT7,Hirose RJ45, 75,0m	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR643	 - 	Kabel Digital	STP-Leitung CAT7,Hirose RJ45, 3,0m	STP-Leitung CAT7,Hirose RJ45, 3,0m	 - 	 - 	 - 	STP-Leitung CAT7,Hirose RJ45, 3,0m	STP-Leitung CAT7,Hirose RJ45, 3,0m	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR435	 - 	Kabel Instrumental	Kl.6,3m-Kl.6,3m Mono 6m (Instrumental)	Kl.6,3m-Kl.6,3m Mono(Instrumental)	 - 	1.5	 - 	Kl.6,3m-Kl.6,3m Mono(Instrumental)	Kl.6,3m-Kl.6,3m Mono(Instrumental)	NULL	 - 	 - 	 - 	 - 	70	60	10	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR436	 - 	Kabel Instrumental	Kl.6,3m-Kl.6,3m Mono 10m(Instrumental)	Kl.6,3m-Kl.6,3m Mono 10m(Instrumental)	 - 	1.5	 - 	Kl.6,3m-Kl.6,3m Mono 10m(Instrumental)	Kl.6,3m-Kl.6,3m Mono 10m(Instrumental)	NULL	 - 	 - 	 - 	 - 	36	36	0	0	0	 - 	 - 	 - 	 - 	10	0.100	0
AR644	 - 	Kabel Instrumental	Kondensator Minaturmikrofon DPA 4099 CORE 	Kondensator Minaturmikrofon DPA 4099 CORE Loud-SPL  MIK AD MDOT>LEMOStück DPA Adapter DAD6003 MicroDot auf Lemo dreipol MIK AD MDOT>EVOStück DPA Adapter DAD6034 MicroDot auf evolution Klinke MIK DPA DAD4099-BCStück DPA DAD4099-BC Phantomspeiseadapter Low Cut MIK DPA BC4099Stück DPA BC4099 Basshalterung MIK DPA CC4099Stück DPA CC4099 Cellohalterung MIK DPA MS4099Stück DPA MS4099 Stativadapter MIK DPA STC4099Stück DPA STC4099 Sax- und Trompetenhalterung MIK DPA VC4099Stück DPA VC4099 Violinenhalterung MIK DPA DC4099Stück DPA DC4099 Drumhalter MIK DPA CM4099Stück DPA CM4099 Clamp Mount	 - 	 - 	 - 	Kondensator Minaturmikrofon DPA 4099 CORE 	Kondensator Minaturmikrofon DPA 4099 CORE Loud-SPL  MIK AD MDOT>LEMOStück DPA Adapter DAD6003 MicroDot auf Lemo dreipol MIK AD MDOT>EVOStück DPA Adapter DAD6034 MicroDot auf evolution Klinke MIK DPA DAD4099-BCStück DPA DAD4099-BC Phantomspeiseadapter Low Cut MIK DPA BC4099Stück DPA BC4099 Basshalterung MIK DPA CC4099Stück DPA CC4099 Cellohalterung MIK DPA MS4099Stück DPA MS4099 Stativadapter MIK DPA STC4099Stück DPA STC4099 Sax- und Trompetenhalterung MIK DPA VC4099Stück DPA VC4099 Violinenhalterung MIK DPA DC4099Stück DPA DC4099 Drumhalter MIK DPA CM4099Stück DPA CM4099 Clamp Mount	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR111	 - 	Kabel Set	Verkabelung Ton n.B.	Verkabelung Ton XLR, Lautsprecher KAbel usw.	 - 	50	 - 	Verkabelung Ton n.B.	Verkabelung Ton XLR, Lautsprecher KAbel usw.	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR281	Kabelset Strom/ Sound	Kabel Set	Kabelset Strom/ Light/ Video	Kabelset Strom/ Sound	 - 	 - 	 - 	Kabelset	Kabelset Strom/ Sound	NULL	 - 	50	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR407	 - 	Kabel Set	Verkabelung Strom/ Licht/ Sound	Starkstrom Distributer, Komplette Verkabelung für Soundanlagen, Komplette Verkabelung Licht	 - 	150	 - 	Verkabelung Strom/ Licht/ Sound	Starkstrom Distributer, Komplette Verkabelung für Soundanlagen, Komplette Verkabelung Licht	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR70	 - 	Kabel Starkstrom	CEE 5P 125A 10 Stromkabel 10m	CEE 5P 125A 10 Stromkabel 10m	5	5	5	CEE 5P 125A 10 Stromkabel 10m	CEE 5P 125A 10 Stromkabel 10m	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR71	 - 	Kabel Starkstrom	CEE 5P 16A 10 Stromkabel 10m	CEE 5P 16A 10 Stromkabel 10m	5	5	5	CEE 5P 16A 10 Stromkabel 10m	CEE 5P 16A 10 Stromkabel 10m	NULL	 - 	 - 	 - 	 - 	8	6	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR72	 - 	Kabel Starkstrom	CEE 5P 16A  Stromkabel 25m	CEE 5P 16A Stromkabel 25m	10	10	15	CEE 5P 16A 25 Stromkabel 25m	CEE 5P 16A 25 Stromkabel 25m	NULL	 - 	 - 	 - 	 - 	8	4	4	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR73	 - 	Kabel Starkstrom	CEE 5P 32A 25 Stromkabel 25m	CEE 5P 32A 25 Stromkabel 25m	15	15	20	CEE 5P 32A 25 Stromkabel 25m	CEE 5P 32A 25 Stromkabel 25m	NULL	 - 	 - 	 - 	 - 	4	4	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR520	 - 	Kabel Starkstrom	Kabeltrommel 25m 400 Volt H05RR-F 5x2,5 16A	Kabeltrommel 25m 400 Volt H05RR-F 5x2,5 16A	5.5	7.5	10	Kabeltrommel 25m 400 Volt H05RR-F 5x2,5 16A	Kabeltrommel 25m 400 Volt H05RR-F 5x2,5 16A	NULL	 - 	 - 	 - 	 - 	51	51	0	0	0	 - 	 - 	 - 	 - 	 - 	3.500	0
AR670	 - 	Kabel Starkstrom	Extension Cable, 3 x 63 A/380 V 5 x 10 mm² 10m	Extension Cable, 3 x 63 A/380 V 5 x 10 mm² 10m	15	15	20	Extension Cable, 3 x 63 A/380 V 5 x 10 mm²	Extension Cable, 3 x 63 A/380 V 5 x 10 mm²	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR671	 - 	Kabel Starkstrom	Extension Cable, 3 x 63 A/380 V 5 x 10 mm² 25m	Extension Cable, 3 x 63 A/380 V 5 x 10 mm² 25m	20	25	35	Extension Cable, 3 x 63 A/380 V 5 x 10 mm²	Extension Cable, 3 x 63 A/380 V 5 x 10 mm²	NULL	 - 	 - 	 - 	 - 	6	6	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR173	 - 	Keys	Korg triton Extreem 	Korg triton Extreem 	 - 	50.00	65	Korg triton Extreem 	Korg triton Extreem 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	177	359	1108	14.400	0
AR268	 - 	Keys	yamaha motif xf7	1.Yamaha motif xf7 2. Sustain Pedal 3. Stromkabel	 - 	100	 - 	yamaha motif xf6	yamaha motif xf6	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR384	 - 	Keys	Yamaha Motive  XS7	Model 	MOTIF XS7 Tone Generator 	AWM2 Keyboards 	76 keys  	120	130	150	Yamaha Motive oder Nord Stage Piano	Yamaha Motive 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	122	391	1252	17.000	0
AR524	 - 	Keys	Clavia NORD STAGE 3 76	76-Note Hammer Action gewichtete Tastatur     Bereich: E-G     Aftertouch     Unterstützt 3 Split-Zonen mit visuellen LED-Anzeige   	120	130	150	Yamaha Motive oder Nord Stage Piano	Yamaha Motive 	NULL	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	122	334	1297	18.500	0
AR612	 - 	Keys	Clavia Nord Stage 3 HA88	Clavia Nord Stage 3 HA88, mit 88 HA Tasten incl. Netzstecker & Sustain Pedal	 - 	200	 - 	Clavia Nord Stage 3 HA88	Clavia Nord Stage 3 HA88, mit 88 HA Tasten incl. Netzstecker & Sustain Pedal	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	120	 - 	 - 	 - 	 - 	0.000	0
AR613	 - 	Keys	Extra Sustain Pedal	Extra Sustain Pedal	 - 	1.5	 - 	Extra Sustain Pedal	Extra Sustain Pedal	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	0.8	 - 	 - 	 - 	 - 	0.000	0
AR614	 - 	Keys	Roland EV-5 Expression Pedal	Roland EV-5 Expression Pedal	 - 	2	 - 	Roland EV-5 Expression Pedal	Roland EV-5 Expression Pedal	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	1.2	 - 	 - 	 - 	 - 	0.000	0
AR623	 - 	Keys	Yamaha Motiv XF6	Yamaha Motiv XF6	 - 	80.00	 - 	Yamaha Motiv XF6	Yamaha Motiv XF6	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR628	 - 	Keys	ROLAND Rd-800 Stage Klavier  inkl. Case	ROLAND Rd-800 Stage Klavier 	 - 	150	 - 	ROLAND Rd-800 Stage Klavier  inkl. Case	ROLAND Rd-800 Stage Klavier 	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	128	 - 	138	367	1400	35.000	0
AR56	 - 	Kraftfahrzeuge (PKW, LKW usw.)	7,5 to. LKW - Transport	LKW 7,5 Tonnen für Transportwege inkl. Fahrer 	300	350	400	7,5 to. LKW - Transport	LKW 7,5 Tonnen für Transportwege inkl. Fahrer 	NULL	 - 	 - 	 - 	 - 	5	5	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR57	 - 	Kraftfahrzeuge (PKW, LKW usw.)	Transport HinRück mit LKW 3,5t, pauschal	 - 	250	300	350	Transport HinRück mit LKW 3,5t, pauschal	 - 	NULL	 - 	 - 	 - 	 - 	5	5	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR413	Fahrtkosten	Kraftfahrzeuge (PKW, LKW usw.)	Fahrtkosten	53227 Bonn Landgrabenweg 15	131.6	174.6	131.6	Fahrtkosten	53227 Bonn Landgrabenweg 15	NULL	 - 	 - 	 - 	 - 	1	0	1	0	0	131.6	 - 	 - 	 - 	 - 	0.000	0
AR535	 - 	Laser Lichttechnik	Laserworld DS-1000 RGB MK2 Laser	RGB Weilicht-LasersystemILDA, Shownet, DMX, Automatik- und MusikmodusCa. 200 vorgefertigte MusterBis zu 1.000 mW RGB GeamtleistungLaser Schutzklasse 4	50	60	70	Laserworld DS-1000 RGB MK2 Laser	RGB Weilicht-LasersystemILDA, DMX, Automatik- und MusikmodusCa. 200 vorgefertigte MusterBis zu 1.000 mW RGB GeamtleistungLaser Schutzklasse 4	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR536	 - 	Laser Lichttechnik	Laserworld DS-2000 RGB MK2 Laser	RGB Weilicht-LasersystemILDA, Shownet, DMX, Automatik- und MusikmodusCa. 200 vorgefertigte MusterBis zu 1.000 mW RGB GeamtleistungLaser Schutzklasse 4	60	70	80	Laserworld DS-2000 RGB MK2 Laser	RGB Weilicht-LasersystemILDA, DMX, Automatik- und MusikmodusCa. 200 vorgefertigte MusterBis zu 1.000 mW RGB GeamtleistungLaser Schutzklasse 4	NULL	 - 	 - 	 - 	 - 	2	0	2	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR21	 - 	Lautsprecher - aktiv	DB technologies Vio S118	Frequency Response [- 6 dB] 36 Hz to Cut Freq (X-Over Dependent) Frequency Response [- 10 dB]33 Hz (HPF) Max SPL139 dB LF1x18", Neodymium Voice Coil LF4 " Directivity Omnidirectional Verstärker RMS Power 1600 W Peak Power 3200 W 	70	90	100	DB technologies Vio S118	Frequency Response [- 6 dB] 36 Hz to Cut Freq (X-Over Dependent) Frequency Response [- 10 dB] 33 Hz (HPF) Max SPL 139 dB LF 1x18", Neodymium Voice Coil LF 4 " Directivity Omnidirectional Verstärker Amp Technology Digipro® G4 Amp Class Class D RMS Power 1600 W Peak Power 3200 W Cooling Convection Power Supply 1600 W with PFC	NULL	3900.00	4000.00	4075.00	 - 	20	20	0	0	20	2199	 - 	520	720	695	45.100	0
AR98	 - 	Lautsprecher - aktiv	Turbosound iNSPIRE iP2000 	Frequenzbereich 	45Hz-20kHz (±3dB) Leistung 	1000W (Peak)	70	80	100	Turbosound iNSPIRE iP2000 	Frequenzbereich 	45Hz-20kHz (±3dB) Leistung 	1000W (Peak)	Turbosound	750	799	899	 - 	6	6	0	0	0	 - 	 - 	2063	420	500	30.900	0
AR125	 - 	Lautsprecher - aktiv	 Multifunktionslautsprecher Akkubetrieb 	12 Multifunktions-Lautsprecher mit einer auergewöhnlichen Dynamik und Reichweite. 400 Watt	20	30	40	 Multifunktionslautsprecher Akkubetrieb 	12 Multifunktions-Lautsprecher mit einer auergewöhnlichen Dynamik und Reichweite. 400 Watt	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	585	380	330	21.000	0
AR280	 - 	Lautsprecher - aktiv	Lautsprecher Aktiv DB LVX oder ähnliches***	Lautsprecher Aktiv DB LVX oder ähnliches	 - 	45	 - 	Lautsprecher Aktiv DB LVX oder ähnliches	Lautsprecher Aktiv DB LVX oder ähnliches	NULL	 - 	 - 	 - 	 - 	2	2	0	0	0	 - 	 - 	 - 	 - 	 - 	0.000	0
AR368	 - 	Lautsprecher - aktiv	DB Technologies SUB615	DB Technologies SUB615 Typ: Aktiver Subwoofer Frequenzbereich: 42-124 Hz (-10dB) Max SPL: 131 dB Tieftöner: 15 mit 2,5 Schwingspule Leistung: 600 W RMS, 1200W/Peak	 - 	50.00	 - 	DB Technologies SUB615	DB Technologies SUB615	Db Technologies	 - 	 - 	 - 	 - 	1	1	0	0	0	 - 	 - 	580	430	600	31.000	0
AR408	 - 	Lautsprecher - aktiv	DB Technologies Vio 10 Aktiv LS	DB Technologies Vio 10 Aktiv LS Frequenzbereich [-10dB]: 73 - 21.400 Hz Frequenzbereich [-6dB]: 82 - 20.000 Hz Maximaler Schalldruck: 130 dB HF: 1x 1" v.c. 1.75". LF: 1x 10", v.c. 2,5" Neodym Abstrahlwinkel: 90° x 40°. Hupe: Drehbares CD-Horn Verstärker: 900 W RMS Klasse-D Digipro® G3	35	45	55	DB Technologies Vio 10 Aktiv LS	DB Technologies Vio 10 Aktiv LS	NULL	 - 	 - 	 - 	 - 	4	0	4	0	0	 - 	 - 	550	280	355	16.000	0
